"","CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","KY_CD","OFNS_DESC","PD_CD","PD_DESC","CRM_ATPT_CPTD_CD","LAW_CAT_CD","JURIS_DESC","BORO_NM","ADDR_PCT_CD","LOC_OF_OCCUR_DESC","PREM_TYP_DESC","PARKS_NM","HADEVELOPT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon"
"33",143766740,"1/24/15","5:40:00","","","1/24/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",105,"INSIDE","","","",1053348,178228,40.65561,-73.75096825,"(40.655610001, -73.750968253)"
"34",801583743,"1/25/15","23:34:00","","","1/25/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",81,"OUTSIDE","","","",1006211,189585,40.68702477,-73.92081554,"(40.687024772, -73.920815537)"
"35",736472060,"1/25/15","23:19:00","","","1/25/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",113,"INSIDE","","","",1046959,186778,40.67912532,-73.77391494,"(40.679125323, -73.773914941)"
"36",538058210,"1/25/15","23:19:00","","","1/25/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",113,"INSIDE","","","",1046959,186778,40.67912532,-73.77391494,"(40.679125323, -73.773914941)"
"37",839225191,"1/25/15","14:43:00","","","1/25/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",13,"INSIDE","","","",986691,209691,40.74223785,-73.99119252,"(40.742237852, -73.991192516)"
"38",666897036,"1/25/15","3:18:00","","","1/25/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",113,"INSIDE","","","",1048592,182991,40.66871917,-73.76806362,"(40.668719174, -73.768063618)"
"39",318081103,"1/27/15","14:45:00","","","1/27/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BROOKLYN",67,"OUTSIDE","","","",998712,170677,40.63514191,-73.94789561,"(40.635141912, -73.947895611)"
"40",435765960,"1/28/15","12:45:00","","","1/28/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",40,"INSIDE","","","",1006709,238639,40.82166423,-73.91885603,"(40.821664228, -73.918856034)"
"41",796589131,"1/31/15","14:30:00","","","1/31/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",114,"OUTSIDE","","","",1006020,222899,40.77846396,-73.92139645,"(40.778463961, -73.92139645)"
"42",910204798,"2/1/15","23:16:00","","","2/1/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",30,"OUTSIDE","","","",996782,238170,40.82039662,-73.95472362,"(40.820396616, -73.954723617)"
"43",964025000,"2/1/15","4:00:00","","","2/1/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",49,"OUTSIDE","","","",1021198,253603,40.86268728,-73.86642422,"(40.862687276, -73.866424221)"
"44",683494420,"2/13/15","23:00:00","","","2/13/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",102,"OUTSIDE","","","",1024850,189919,40.68787565,-73.85360602,"(40.687875653, -73.85360602)"
"45",816479024,"2/14/15","8:30:00","","","2/14/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","QUEENS",107,"INSIDE","","","",1036628,204948,40.72906475,-73.81102013,"(40.72906475, -73.811020132)"
"46",583433804,"2/16/15","1:45:00","","","2/16/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","STATEN ISLAND",120,"INSIDE","","","WEST BRIGHTON I",951319,171306,40.63681897,-74.11865313,"(40.636818967, -74.118653127)"
"47",972859889,"2/16/15","0:03:00","","","2/16/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","MANHATTAN",23,"INSIDE","","","",1000531,229408,40.79634124,-73.94119982,"(40.796341237, -73.941199816)"
"48",296087478,"2/19/15","15:26:00","","","2/19/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",52,"INSIDE","","","",1011708,254066,40.86399269,-73.90073126,"(40.863992687, -73.900731263)"
"49",954389201,"2/19/15","15:20:00","","","2/19/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX",47,"OUTSIDE","","","",1024586,259613,40.87916804,-73.85413951,"(40.879168036, -73.854139507)"
"50",527511234,"2/19/15","13:57:00","","","2/19/15",101,"MURDER & NON-NEGL. MANSLAUGHTER",NA,"","COMPLETED","FELONY","N.Y. HOUSING POLICE","BROOKLYN",88,"OUTSIDE","","","",990847,192565,40.69522897,-73.97621138,"(40.69522897, -73.976211379)"
